SMILES,Adduct,True CCS
CCCCCC(C(=C(C1(C(CC(CCCCC(=O)O)=O)(C(CC1(O)[H])(O)[H])[H])[H])[H])[H])(O)[H],[M+H]+,179.1
CCCCCC(C(=C(C1(C(CC(=C(CCCC(=O)O)[H])[H])(C2(CC1(OO2)[H])[H])[H])[H])[H])[H])(OO)[H],[M-H]-,194.3
CCCCCC(=C(CC1(C(C(=C(C(CCCC(=O)O)(O)[H])[H])[H])(C(CC1(O)[H])(O)[H])[H])[H])[H])[H],[M+Na]+,205.5333333
CCCCC[C@@H](CC(=O)CCc1cc(c(cc1)O)OC)O,[M-H]-,170.0371225
CCC1(C2=CC=CC=C2)C(=NCN=C1O)O,[M+H]+,146.8793802
CCC(C)(C1(C(=NC(CCC(=N)O)(C(=NC(CC(=N)O)(C(=NC(CSSCC(C(=NC(CC2=CC=C(C=C2)O)(C(=N1)O)[H])O)(N)[H])(C(N3CCCC3(C(=NC(CC(C)C)(C(=NCC(=N)O)O)[H])O)[H])=O)[H])O)[H])O)[H])O)[H])[H],[M-H]-,298.9651024
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,[M+H]+,207.5989807
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,[M-H]-,205.7350353
CCC(C(=NCC(=O)O)O)(N=C(CCC(C(=O)O)(N)[H])O)[H],[M-H]-,161.8
CCC(=O)c1ccc(O)cc1,[M+H]+,129.9995959
CCC(=O)c1ccc(O)cc1,[M-H]-,131.826804
CCC(=C(CC(C(=C(C(=C(CC(=C(CC(=C(CC(=C(CCC(=O)O)[H])[H])[H])[H])[H])[H])[H])[H])[H])[H])(O)[H])[H])[H],[M-H]-,194.8417336
Cc1cc(c2c(c1)C(=O)c1cc(cc(c1C2=O)O)O)O,[M+H]+,156.6954327
Cc1cc(c2c(c1)C(=O)c1cc(cc(c1C2=O)O)O)O,[M-H]-,155.0610583
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)O)(C)C(=O)O,[M-H]-,179.4199234
CC12CCC3(C(CCC4=CC(=C(C=C43)OC)O)(C2(CCC1=O)[H])[H])[H],[M-H]-,184.553393
CC1=CN=C(C=N1)C(=NCCC2=CC=C(C=C2)S(NC(=NC3CCCCC3)O)(=O)=O)O,[M+H]+,196.5448164
CC1=CN(C2(CC(C(COP(O)(O)=O)(O2)[H])(O)[H])[H])C(N=C1O)=O,[M+H]+,163.8426618
CC1=CN(C2(CC(C(COP(O)(O)=O)(O2)[H])(O)[H])[H])C(N=C1O)=O,[M-H]-,164.1
CC1=CN(C2(CC(C(COP(O)(=O)OP(O)(=O)OC3(C(C(C(C(CO)(O3)[H])(O)[H])(O)[H])(O)[H])[H])(O2)[H])(O)[H])[H])C(N=C1O)=O,[M-H]-,209.5
CC1=CN(C2(CC(C(CO)(O2)[H])(O)[H])[H])C(N=C1O)=O,[M+Na]+,162.9
CC1=CC2=C(C=C1C)N(CC(C(C(CO)(O)[H])(O)[H])(O)[H])C=3C(C(=NC(N3)=O)O)=N2,[M+H]+,189.6
CC1=CC2=C(C(=C1)O)C(C3=C(C=C(C=C3O)O)C2=O)=O,[M-H]-,156.9055722
CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,[M+H]+,166.0632282
CC1=CC=C(C=C1)C(C2=CC=C(CC(=O)O)N2C)=O,[M+H]+,158.7173846
CC1=CC(=O)OC2=CC(=CC(=C12)O)O,[M-H]-,135.2771415
CC1=CC(=O)OC2=CC(=C(C=C12)O)O,[M+H]+,136.8009543
CC1=CC(=O)OC2=CC(=C(C=C12)O)O,[M-H]-,135.3323523
CC1=CC(=O)OC2=C1C=CC(=C2[N+](=O)[O-])O,[M+H]+,144.5735374
CC1=CC(=O)OC2=C1C=C(C=C2)O,[M-H]-,135.4796567
CC1=CC(=NO1)NS(C2=CC=C(C=C2)N=C(C)O)(=O)=O,[M+Na]+,178.5211412
CC1=CC(=NO1)NS(C2=CC=C(C=C2)N=C(C)O)(=O)=O,[M-H]-,172.0532267
CC1=CC(=NC(C2=C(C3=CC=CC=C3S(N2C)(=O)=O)O)=O)NO1,[M+H]+,170.7676567
CC1=CC(=C(C(C)=C1CC2=NCCN2)O)C(C)(C)C,[M+H]+,169.8939536
CC1=C(C=C(C=C1N(=O)=O)N(=O)=O)C(=N)O,[M+H]+,143.6748826
CC1=C(C(N(C2=CC=CC=C2)N1C)=O)N=C(C=3C=CC=NC3)O,[M+H]+,172.5409909
CC1=C(C(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)OC)O,[M+H]+,158.7490827
CC1=C(C(=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O)OC)O,[M-H]-,160.8542464
CC1(CC2(C3(CCC(C(C)=O)(C3(C)CC(C2(C4(C)CCC(C=C14)=O)[H])(O)[H])[H])[H])[H])[H],[M+H]+,183.1597761
CC1(C=Cc2c(O1)ccc1c2OC[C@H](C1)c1c(cc(cc1)O)O)C,[M+H]+,180.628133
CC1(C=Cc2c(O1)ccc1c2OC[C@H](C1)c1c(cc(cc1)O)O)C,[M-H]-,184.4591631
CC1(C=Cc2c(O1)ccc1c2O[C@@H]2COc3cc(c(cc3[C@@H]2C1=O)OC)OC)C,[M-H]-,198.3607868
CC1(C=2C=CC=C(C2C(C=3C1(CC4(C(C(=C(C(C4(C3O)O)=O)C(=N)O)O)(N(C)C)[H])[H])[H])=O)O)O,[M+H]+,193.6775179
CC1(C)C(C(=O)O)(N2C(C(C2(S1)[H])(N=C(C(C3=CC=C(C=C3)O)(N)[H])O)[H])=O)[H],[M+H]+,187.3880732
CC1(C(C(C(N2C=NC3=C(N)N=CN=C32)(O1)[H])(O)[H])(O)[H])[H],[M+Na]+,168.8
CC1(C(C(C(C(OCC2(C(C(C(C(OC3=CC(=C4C(C=C(C=5C=CC(=C(C5)O)OC)OC4=C3)=O)O)(O2)[H])(O)[H])(O)[H])(O)[H])[H])(O1)[H])(O)[H])(O)[H])(O)[H])[H],[M+H]+,242.482005
CC1(C(C(C(C(O1)(OC2(C(C(OC(CO)(C2(OC3(C(C(C(C(CO)(O3)[H])(O)[H])(O)[H])(O)[H])[H])[H])[H])(OC4(C(C(CO)(OC(C4(O)[H])(OC5(C(CO)(OC(C(C5(O)[H])(O)[H])(O)[H])[H])[H])[H])[H])(O)[H])[H])[H])(N=C(C)O)[H])[H])[H])(O)[H])(O)[H])(O)[H])[H],[M+Na]+,267.798468
CC1(C(=C(C(=C(C)C(=NC=2C(=C(NN3CCN(C)CC3)[H])C(C4=C(C(=C(C)C5=C4C(C(C)(OC(=C(C(C(C)(C(C(C)(C(C(C)(C1(O)[H])[H])(O)[H])[H])(OC(C)=O)[H])[H])(OC)[H])[H])[H])O5)=O)O)C2O)=O)O)[H])[H])[H])[H],[M-H]-,288.84
CC=CC1=CC(=C(C=C1)O)OC,[M-H]-,138.0229119
CC=1C=CC=C(C1OC(C)=O)C(=O)O,[M+H]+,129.1294119
CC=1C=CC=C(C)C1N=C(C2=CC=CC=C2C(=O)O)O,[M+H]+,159.169225
CC=1C=CC=2CC(C)(C(C2C1)(N=C3NC(C(C)(F)[H])=NC(=N)N3)[H])[H],[M-H]-,180.6659418
CC(CO)(N=C(C1(C=C2C=3C=CC=C4C3C(CC2(N(C)C1)[H])=CN4)[H])O)[H],[M+H]+,178.9518048
CC(CCOP(O)(O)=O)(CC(=O)O)O,[M+Na]+,152.2808458
CC(CCC(=NCC(=O)O)O)(C1(CCC2(C3(CCC4(CC(CCC4(C)C3(CCC12C)[H])(O)[H])[H])[H])[H])[H])[H],[M+H]+,201.431392
CC(CCC(=NCC(=O)O)O)(C1(CCC2(C3(CCC4(CC(CCC4(C)C3(CCC12C)[H])(O)[H])[H])[H])[H])[H])[H],[M-H]-,197.3569378
CC(CCC(=NCC(=O)O)O)(C1(CCC2(C3(C(CCC12C)(C4(C)CCC(CC4(CC3(O)[H])[H])(O)[H])[H])[H])[H])[H])[H],[M+Na]+,204.1
